#dimension
2
#Nx,Ny
10 100
#Xmin,Xmax,Ymin,Ymax
0.000000 2.000000 0.000000 1.170000
#\Delta t_fperiod between neighoring frames
0.010000
#frame number n (t=n\Delta t)
18
#I,J,P,Ux,Uy
0 0 101325.000000 0.000000 0.000000
0 1 101325.000000 0.262456 0.000000
0 2 101325.000000 0.519609 0.000000
0 3 101325.000000 0.771460 0.000000
0 4 101325.000000 1.018009 0.000000
0 5 101325.000000 1.259257 0.000000
0 6 101325.000000 1.495201 0.000000
0 7 101325.000000 1.725844 0.000000
0 8 101325.000000 1.951185 0.000000
0 9 101325.000000 2.171223 0.000000
0 10 101325.000000 2.385960 0.000000
0 11 101325.000000 2.595394 0.000000
0 12 101325.000000 2.799526 0.000000
0 13 101325.000000 2.998356 0.000000
0 14 101325.000000 3.191884 0.000000
0 15 101325.000000 3.380110 0.000000
0 16 101325.000000 3.563033 0.000000
0 17 101325.000000 3.740655 0.000000
0 18 101325.000000 3.912974 0.000000
0 19 101325.000000 4.079991 0.000000
0 20 101325.000000 4.241706 0.000000
0 21 101325.000000 4.398119 0.000000
0 22 101325.000000 4.549230 0.000000
0 23 101325.000000 4.695039 0.000000
0 24 101325.000000 4.835545 0.000000
0 25 101325.000000 4.970749 0.000000
0 26 101325.000000 5.100652 0.000000
0 27 101325.000000 5.225252 0.000000
0 28 101325.000000 5.344550 0.000000
0 29 101325.000000 5.458546 0.000000
0 30 101325.000000 5.567239 0.000000
0 31 101325.000000 5.670631 0.000000
0 32 101325.000000 5.768720 0.000000
0 33 101325.000000 5.861508 0.000000
0 34 101325.000000 5.948993 0.000000
0 35 101325.000000 6.031176 0.000000
0 36 101325.000000 6.108057 0.000000
0 37 101325.000000 6.179636 0.000000
0 38 101325.000000 6.245912 0.000000
0 39 101325.000000 6.306887 0.000000
0 40 101325.000000 6.362559 0.000000
0 41 101325.000000 6.412930 0.000000
0 42 101325.000000 6.457998 0.000000
0 43 101325.000000 6.497764 0.000000
0 44 101325.000000 6.532228 0.000000
0 45 101325.000000 6.561389 0.000000
0 46 101325.000000 6.585249 0.000000
0 47 101325.000000 6.603806 0.000000
0 48 101325.000000 6.617062 0.000000
0 49 101325.000000 6.625015 0.000000
0 50 101325.000000 6.627666 0.000000
0 51 101325.000000 6.625015 0.000000
0 52 101325.000000 6.617062 0.000000
0 53 101325.000000 6.603806 0.000000
0 54 101325.000000 6.585249 0.000000
0 55 101325.000000 6.561389 0.000000
0 56 101325.000000 6.532228 0.000000
