#dimension
2
#Nx,Ny
100 100
#Xmin,Xmax,Ymin,Ymax
0.000000 123.400000 0.000000 134.500000
#\Delta t_fperiod between neighoring frames
0.010000
#frame number n (t=n\Delta t)
8
#I,J,P,Ux,Uy
0 0 1339.458485 0.000000 -0.000000
0 1 1339.042699 0.000000 -0.045595
0 2 1337.801899 0.000000 -0.091011
0 3 1335.755652 0.000000 -0.136067
0 4 1332.936230 0.000000 -0.180586
0 5 1329.388096 0.000000 -0.224392
0 6 1325.167206 0.000000 -0.267313
0 7 1320.340126 0.000000 -0.309179
0 8 1314.982983 0.000000 -0.349825
0 9 1309.180262 0.000000 -0.389090
0 10 1303.023474 0.000000 -0.426820
0 11 1296.609717 0.000000 -0.462865
0 12 1290.040139 0.000000 -0.497083
0 13 1283.418346 0.000000 -0.529340
0 14 1276.848768 0.000000 -0.559507
0 15 1270.435010 0.000000 -0.587467
0 16 1264.278223 0.000000 -0.613108
0 17 1258.475501 0.000000 -0.636329
0 18 1253.118358 0.000000 -0.657039
0 19 1248.291279 0.000000 -0.675156
0 20 1244.070389 0.000000 -0.690609
0 21 1240.522255 0.000000 -0.703336
0 22 1237.702833 0.000000 -0.713287
0 23 1235.656586 0.000000 -0.720423
0 24 1234.415786 0.000000 -0.724716
0 25 1234.000000 0.000000 -0.726149
0 26 1234.415786 -0.000000 -0.724716
0 27 1235.656586 -0.000000 -0.720423
0 28 1237.702833 -0.000000 -0.713287
0 29 1240.522255 -0.000000 -0.703336
0 30 1244.070389 -0.000000 -0.690609
0 31 1248.291279 -0.000000 -0.675156
0 32 1253.118358 -0.000000 -0.657039
0 33 1258.475501 -0.000000 -0.636329
0 34 1264.278223 -0.000000 -0.613108
0 35 1270.435010 -0.000000 -0.587467
0 36 1276.848768 -0.000000 -0.559507
0 37 1283.418346 -0.000000 -0.529340
0 38 1290.040139 -0.000000 -0.497083
0 39 1296.609717 -0.000000 -0.462865
0 40 1303.023474 -0.000000 -0.426820
0 41 1309.180262 -0.000000 -0.389090
0 42 1314.982983 -0.000000 -0.349825
0 43 1320.340126 -0.000000 -0.309179
0 44 1325.167206 -0.000000 -0.267313
0 45 1329.388096 -0.000000 -0.224392
0 46 1332.936230 -0.000000 -0.180586
0 47 1335.755652 -0.000000 -0.136067
0 48 1337.801899 -0.000000 -0.091011
0 49 1339.042699 -0.000000 -0.045595
0 50 1339.458485 -0.000000 -0.000000
0 51 1339.042699 -0.000000 0.045595
0 52 1337.801899 -0.000000 0.091011
0 53 1335.755652 -0.000000 0.136067
0 54 1332.936230 -0.000000 0.180586
0 55 1329.388096 -0.000000 0.224392
0 56 1325.167206 -0.000000 0.267313
0 57 1320.340126 -0.000000 0.309179
0 58 1314.982983 -0.000000 0.349825
0 59 1309.180262 -0.000000 0.389090
0 60 1303.023474 -0.000000 0.426820
0 61 1296.609717 -0.000000 0.462865
0 62 1290.040139 -0.000000 0.497083
0 63 1283.418346 -0.000000 0.529340
0 64 1276.848768 -0.000000 0.559507
0 65 1270.435010 -0.000000 0.587467
0 66 1264.278223 -0.000000 0.613108
0 67 1258.475501 -0.000000 0.636329
0 68 1253.118358 -0.000000 0.657039
0 69 1248.291279 -0.000000 0.675156
0 70 1244.070389 -0.000000 0.690609
0 71 1240.522255 -0.000000 0.703336
0 72 1237.702833 -0.000000 0.713287
0 73 1235.656586 -0.000000 0.720423
0 74 1234.415786 -0.000000 0.724716
0 75 1234.000000 -0.000000 0.726149
0 76 1234.415786 0.000000 0.724716
0 77 1235.656586 0.000000 0.720423
0 78 1237.702833 0.000000 0.713287
0 79 1240.522255 0.000000 0.703336
0 80 1244.070389 0.000000 0.690609
0 81 1248.291279 0.000000 0.675156
0 82 1253.118358 0.000000 0.657039
0 83 1258.475501 0.000000 0.636329
0 84 1264.278223 0.000000 0.613108
0 85 1270.435010 0.000000 0.587467
0 86 1276.848768 0.000000 0.559507
0 87 1283.418346 0.000000 0.529340
0 88 1290.040139 0.000000 0.497083
0 89 1296.609717 0.000000 0.462865
0 90 1303.023474 0.000000 0.426820
0 91 1309.180262 0.000000 0.389090
0 92 1314.982983 0.000000 0.349825
0 93 1320.340126 0.000000 0.309179
0 94 1325.167206 0.000000 0.267313
0 95 1329.388096 0.000000 0.224392
0 96 1332.936230 0.000000 0.180586
0 97 1335.755652 0.000000 0.136067
0 98 1337.801899 0.000000 0.091011
0 99 1339.042699 0.000000 0.045595
0 100 1339.458485 0.000000 0.000000
1 0 1339.042699 0.045595 -0.000000
1 1 1338.626913 0.045505 -0.045505
1 2 1337.386113 0.045236 -0.090831
1 3 1335.339866 0.044788 -0.135798
1 4 1332.520444 0.044163 -0.180230
1 5 1328.972310 0.043364 -0.223950
1 6 1324.751420 0.042393 -0.266786
1 7 1319.924341 0.041256 -0.308569
1 8 1314.567198 0.039955 -0.349135
1 9 1308.764476 0.038497 -0.388322
1 10 1302.607689 0.036887 -0.425977
1 11 1296.193931 0.035132 -0.461951
1 12 1289.624353 0.033238 -0.496102
1 13 1283.002560 0.031212 -0.528295
1 14 1276.432982 0.029064 -0.558403
1 15 1270.019225 0.026800 -0.586308
1 16 1263.862437 0.024431 -0.611898
1 17 1258.059716 0.021966 -0.635074
1 18 1252.702573 0.019414 -0.655743
1 19 1247.875493 0.016785 -0.673824
1 20 1243.654603 0.014090 -0.689246
1 21 1240.106469 0.011339 -0.701948
1 22 1237.287047 0.008544 -0.711879
1 23 1235.240800 0.005715 -0.719002
1 24 1234.000000 0.002863 -0.723286
1 25 1233.584214 0.000000 -0.724716
1 26 1234.000000 -0.002863 -0.723286
1 27 1235.240800 -0.005715 -0.719002
1 28 1237.287047 -0.008544 -0.711879
1 29 1240.106469 -0.011339 -0.701948
1 30 1243.654603 -0.014090 -0.689246
1 31 1247.875493 -0.016785 -0.673824
1 32 1252.702573 -0.019414 -0.655743
1 33 1258.059716 -0.021966 -0.635074
1 34 1263.862437 -0.024431 -0.611898
1 35 1270.019225 -0.026800 -0.586308
1 36 1276.432982 -0.029064 -0.558403
1 37 1283.002560 -0.031212 -0.528295
1 38 1289.624353 -0.033238 -0.496102
1 39 1296.193931 -0.035132 -0.461951
1 40 1302.607689 -0.036887 -0.425977
1 41 1308.764476 -0.038497 -0.388322
1 42 1314.567198 -0.039955 -0.349135
1 43 1319.924341 -0.041256 -0.308569
1 44 1324.751420 -0.042393 -0.266786
1 45 1328.972310 -0.043364 -0.223950
1 46 1332.520444 -0.044163 -0.180230
1 47 1335.339866 -0.044788 -0.135798
1 48 1337.386113 -0.045236 -0.090831
1 49 1338.626913 -0.045505 -0.045505
1 50 1339.042699 -0.045595 -0.000000
1 51 1338.626913 -0.045505 0.045505
1 52 1337.386113 -0.045236 0.090831
1 53 1335.339866 -0.044788 0.135798
1 54 1332.520444 -0.044163 0.180230
1 55 1328.972310 -0.043364 0.223950
1 56 1324.751420 -0.042393 0.266786
1 57 1319.924341 -0.041256 0.308569
1 58 1314.567198 -0.039955 0.349135
1 59 1308.764476 -0.038497 0.388322
1 60 1302.607689 -0.036887 0.425977
1 61 1296.193931 -0.035132 0.461951
1 62 1289.624353 -0.033238 0.496102
1 63 1283.002560 -0.031212 0.528295
1 64 1276.432982 -0.029064 0.558403
1 65 1270.019225 -0.026800 0.586308
1 66 1263.862437 -0.024431 0.611898
1 67 1258.059716 -0.021966 0.635074
1 68 1252.702573 -0.019414 0.655743
1 69 1247.875493 -0.016785 0.673824
1 70 1243.654603 -0.014090 0.689246
1 71 1240.106469 -0.011339 0.701948
1 72 1237.287047 -0.008544 0.711879
1 73 1235.240800 -0.005715 0.719002
1 74 1234.000000 -0.002863 0.723286
1 75 1233.584214 -0.000000 0.724716
1 76 1234.000000 0.002863 0.723286
1 77 1235.240800 0.005715 0.719002
1 78 1237.287047 0.008544 0.711879
1 79 1240.106469 0.011339 0.701948
1 80 1243.654603 0.014090 0.689246
1 81 1247.875493 0.016785 0.673824
1 82 1252.702573 0.019414 0.655743
1 83 1258.059716 0.021966 0.635074
1 84 1263.862437 0.024431 0.611898
1 85 1270.019225 0.026800 0.586308
1 86 1276.432982 0.029064 0.558403
1 87 1283.002560 0.031212 0.528295
1 88 1289.624353 0.033238 0.496102
1 89 1296.193931 0.035132 0.461951
1 90 1302.607689 0.036887 0.425977
1 91 1308.764476 0.038497 0.388322
